id,locality_name,Postal_code,Price,Type_of_property,Number_of_rooms,Living_area,Type_of_sale,Equipped_kitchen,Furnished,Open_fire,Terrace,Garden,Number_of_facades,Swimming_Pool,State_of_building
20189188,GERAARDSBERGEN,9500,160000.0,MIXED_USE_BUILDING,,147.0,FOR_SALE,True,False,False,22.0,,2.0,True,TO_BE_DONE_UP
20189198,GERAARDSBERGEN,9500,160000.0,HOUSE,,147.0,FOR_SALE,True,False,False,22.0,,2.0,True,TO_BE_DONE_UP
20189159,GALMAARDEN,1570,175000.0,HOUSE,,215.0,FOR_SALE,False,False,False,,,3.0,True,TO_RENOVATE
20189301,BORGERHOUT,2140,185000.0,MIXED_USE_BUILDING,,112.0,FOR_SALE,False,False,False,27.0,,2.0,True,TO_RENOVATE
20189526,VARSENARE,8490,429000.0,HOUSE,,157.0,FOR_SALE,False,False,False,,,3.0,True,TO_BE_DONE_UP
20186737,BOOM,2850,465000.0,HOUSE,,324.0,FOR_SALE,False,False,False,45.0,290.0,,True,TO_RENOVATE
20225324,Geraardsbergen Moerbeke,9500,379000.0,VILLA,,177.0,FOR_SALE,False,False,False,,,3.0,False,AS_NEW
20226493,Izegem,8870,99000.0,HOUSE,8.0,184.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
20154721,Geer,4250,220000.0,HOUSE,,135.0,FOR_SALE,False,False,False,,600.0,4.0,False,TO_RENOVATE
20240355,Gent,9032,249000.0,HOUSE,,125.0,FOR_SALE,False,False,False,20.0,,1.0,False,GOOD
20201950,Gent,9000,270000.0,HOUSE,,117.0,FOR_SALE,True,False,False,,,2.0,False,GOOD
20201948,Sint-Amandsberg,9040,270000.0,HOUSE,,117.0,FOR_SALE,True,False,False,,,2.0,False,GOOD
20207367,Oostkamp,8020,285000.0,HOUSE,1.0,157.0,FOR_SALE,False,False,False,20.0,,2.0,True,GOOD
20235772,Lede,9340,295000.0,HOUSE,,150.0,FOR_SALE,False,False,False,,115.0,2.0,False,GOOD
20196762,Ledegem,8880,299000.0,HOUSE,1.0,172.0,FOR_SALE,False,False,False,,234.0,2.0,True,AS_NEW
20176585,Esneux,4130,309900.0,MIXED_USE_BUILDING,,255.0,FOR_SALE,False,False,False,47.0,,2.0,True,AS_NEW
20189148,Limelette,1342,325000.0,VILLA,10.0,106.0,FOR_SALE,False,False,False,28.0,583.0,4.0,True,TO_BE_DONE_UP
20205568,Milmort,4041,349000.0,HOUSE,,182.0,FOR_SALE,True,False,False,50.0,520.0,4.0,False,GOOD
20156825,STOUMONT,4983,350000.0,HOUSE,,171.0,FOR_SALE,True,False,True,7.0,,4.0,False,GOOD
20203837,Boom,2850,361900.0,HOUSE,,223.0,FOR_SALE,True,False,False,,270.0,2.0,False,TO_BE_DONE_UP
20197059,Grobbendonk,2280,364000.0,HOUSE,,150.0,FOR_SALE,False,False,False,30.0,432.0,3.0,True,GOOD
20156666,Beveren Vrasene,9120,439000.0,HOUSE,,229.0,FOR_SALE,False,False,False,20.0,590.0,4.0,False,GOOD
20197972,Sint-Niklaas,9100,440000.0,HOUSE,1.0,183.0,FOR_SALE,False,False,False,30.0,278.0,3.0,True,AS_NEW
20168860,Anderlecht,1070,449000.0,APARTMENT_BLOCK,25.0,210.0,FOR_SALE,False,False,False,17.0,,2.0,False,GOOD
20204486,Keerbergen,3140,449000.0,HOUSE,,170.0,FOR_SALE,False,False,False,20.0,2330.0,4.0,False,GOOD
20167751,Court-St.-Étienne,1490,519000.0,EXCEPTIONAL_PROPERTY,,300.0,FOR_SALE,True,False,False,100.0,1500.0,4.0,False,TO_RENOVATE
20135949,Genval,1332,525000.0,HOUSE,17.0,188.0,FOR_SALE,True,False,False,18.0,397.0,3.0,False,GOOD
20179553,Grimbergen,1850,525000.0,HOUSE,,242.0,FOR_SALE,False,False,False,,,2.0,True,AS_NEW
20177996,Damme,8340,525000.0,HOUSE,,158.0,FOR_SALE,False,False,False,1.0,425.0,3.0,False,AS_NEW
20166528,Mechelen,2800,595000.0,HOUSE,,201.0,FOR_SALE,False,False,False,29.0,278.0,2.0,False,GOOD
20197925,Gent,9000,625000.0,APARTMENT_BLOCK,,150.0,FOR_SALE,True,False,False,,,2.0,False,TO_BE_DONE_UP
20207468,Beersel,1652,649000.0,HOUSE,,237.0,FOR_SALE,False,False,False,15.0,760.0,3.0,False,AS_NEW
20156915,Anderlecht,1070,650000.0,APARTMENT_BLOCK,26.0,285.0,FOR_SALE,True,False,False,18.0,443.0,4.0,False,GOOD
20156752,Anderlecht,1070,650000.0,HOUSE,26.0,285.0,FOR_SALE,True,False,False,18.0,443.0,4.0,False,GOOD
20193820,Dilbeek,1700,700000.0,VILLA,,310.0,FOR_SALE,False,False,False,40.0,350.0,4.0,True,AS_NEW
20199457,Lier,2500,719000.0,VILLA,,232.0,FOR_SALE,False,False,False,,,4.0,False,GOOD
20188955,Kapellen,2950,795000.0,VILLA,,205.0,FOR_SALE,False,False,True,80.0,,4.0,False,TO_RENOVATE
20204877,Knokke-Heist,8300,795000.0,HOUSE,,166.0,FOR_SALE,False,False,False,,,2.0,False,AS_NEW
20203856,Zoersel,2980,835000.0,VILLA,1.0,347.0,FOR_SALE,False,False,False,,1933.0,4.0,True,GOOD
20193582,Ravels Poppel,2382,845000.0,VILLA,,240.0,FOR_SALE,False,False,True,30.0,795.0,4.0,True,AS_NEW
20177503,Kapellen,2950,895000.0,VILLA,,240.0,FOR_SALE,False,False,True,40.0,,4.0,True,GOOD
20164526,Overijse,3090,910000.0,HOUSE,,200.0,FOR_SALE,False,False,False,,170.0,4.0,False,GOOD
20155073,Knokke-Heist,8300,1095000.0,VILLA,,222.0,FOR_SALE,False,False,False,,338.0,4.0,False,AS_NEW
20140675,Knokke-Heist,8301,1095000.0,VILLA,,222.0,FOR_SALE,False,False,False,,338.0,4.0,False,AS_NEW
20206029,Sint-Truiden,3800,1300000.0,VILLA,,365.0,FOR_SALE,False,False,False,,,4.0,False,AS_NEW
20150064,Grimbergen,1850,1550000.0,VILLA,1.0,362.0,FOR_SALE,False,False,False,40.0,1200.0,4.0,True,AS_NEW
20176236,Knokke-Heist,8300,1595000.0,VILLA,,188.0,FOR_SALE,False,False,False,,600.0,3.0,False,AS_NEW
20128987,Knokke-Heist,8300,2795000.0,HOUSE,,298.0,FOR_SALE,False,False,False,,,4.0,False,GOOD
20128465,Knokke-Heist,8300,2795000.0,VILLA,,298.0,FOR_SALE,False,False,False,,,4.0,False,GOOD
20178070,Oupeye,4683,299000.0,HOUSE,,309.0,FOR_SALE,True,False,True,26.0,320.0,2.0,False,GOOD
20189528,Herzele Hillegem,9550,339000.0,HOUSE,,251.0,FOR_SALE,False,False,False,,602.0,3.0,False,GOOD
20189347,Ternat,1742,429000.0,BUNGALOW,,140.0,FOR_SALE,False,False,False,20.0,350.0,4.0,False,GOOD
20192474,GOOIK,1755,449000.0,HOUSE,,173.0,FOR_SALE,True,False,False,,,3.0,True,GOOD
20194575,Sint-Martens-Latem,9830,745000.0,HOUSE,,175.0,FOR_SALE,False,False,False,,,4.0,True,TO_RESTORE
20241862,Eeklo,9900,305000.0,HOUSE,,159.0,FOR_SALE,True,False,False,,,2.0,False,
20241047,HUMBEEK,1851,349000.0,HOUSE,,230.0,FOR_SALE,False,False,False,,,4.0,True,TO_RENOVATE
20240399,Blankenberge,8370,349000.0,TOWN_HOUSE,,133.0,FOR_SALE,True,False,False,25.0,,,True,AS_NEW
20241392,DEINZE,9800,349000.0,HOUSE,,246.0,FOR_SALE,True,False,False,,,4.0,True,TO_BE_DONE_UP
20241786,Meerhout,2450,379000.0,HOUSE,,142.0,FOR_SALE,False,False,False,,,4.0,True,
20240801,Nieuwpoort,8620,425000.0,HOUSE,1.0,,FOR_SALE,False,False,False,,,3.0,True,GOOD
20240466,Harelbeke,8531,449000.0,VILLA,,260.0,FOR_SALE,False,False,False,,,4.0,False,
20239978,Brasschaat,2930,499000.0,HOUSE,15.0,,FOR_SALE,False,False,False,,,,True,GOOD
20219578,Rochefort,5580,115000.0,HOUSE,,99.0,FOR_SALE,False,False,False,40.0,,2.0,False,GOOD
20220799,INGELMUNSTER,8770,285000.0,HOUSE,,150.0,FOR_SALE,False,False,False,,,3.0,True,TO_BE_DONE_UP
20218051,Zwalm,9630,295000.0,HOUSE,14.0,186.0,FOR_SALE,False,False,False,,,,True,TO_RENOVATE
20214970,Visé,4600,365000.0,APARTMENT_BLOCK,18.0,148.0,FOR_SALE,True,False,False,,,3.0,False,GOOD
20217265,Sint-Niklaas,9100,375000.0,HOUSE,10.0,225.0,FOR_SALE,True,False,False,,,,True,JUST_RENOVATED
20218847,HERMALLE-SOUS-HUY,4480,430000.0,MIXED_USE_BUILDING,,162.0,FOR_SALE,False,False,False,,,4.0,False,
20220584,Sint-Niklaas,9100,549000.0,MIXED_USE_BUILDING,,325.0,FOR_SALE,False,False,False,,,4.0,True,GOOD
20218055,Gent,9000,629000.0,VILLA,14.0,238.0,FOR_SALE,False,False,False,,,,True,TO_BE_DONE_UP
20219875,Roosdaal,1760,750000.0,HOUSE,,313.0,FOR_SALE,False,False,False,,,4.0,False,GOOD
20218856,Woluwe-Saint-Pierre,1150,810000.0,HOUSE,,225.0,FOR_SALE,True,False,False,15.0,,3.0,True,GOOD
20181009,HUMBEEK,1851,275000.0,HOUSE,,185.0,FOR_SALE,False,False,False,,,2.0,True,TO_RENOVATE
20217986,Schelle,2627,379000.0,HOUSE,,135.0,FOR_SALE,True,False,True,50.0,150.0,2.0,False,AS_NEW
20170283,Roosdaal,1760,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20170284,Willebroek,2830,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
20168535,Willebroek,2830,,HOUSE_GROUP,,,FOR_SALE,False,False,False,,,,True,
